City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,paita,-5.0892,-81.1144,69.08,83,10,17.69,PE,1699924132
1,vizinga,61.0749,50.1031,36.52,98,100,6.15,RU,1699924191
2,jamestown,42.097,-79.2353,48.56,75,0,10.36,US,1699924104
3,georgetown,5.4112,100.3354,82.94,89,20,4.61,MY,1699923998
4,puerto natales,-51.7236,-72.4875,33.91,85,87,7.85,CL,1699924034
5,remire-montjoly,4.9167,-52.2667,78.84,89,0,3.44,GF,1699924191
6,margaret river,-33.95,115.0667,62.8,75,100,11.81,AU,1699924032
7,geraldton,-28.7667,114.6,75.61,69,100,10.36,AU,1699924192
8,xunchang,28.4543,104.715,51.46,84,100,2.06,CN,1699924192
9,whitehorse,60.7161,-135.0538,24.03,85,100,17.0,CA,1699924192
10,cockburn town,21.4612,-71.1419,82.63,76,16,18.61,TC,1699924192
11,saipan,15.1355,145.701,88.5,66,40,19.57,MP,1699923832
12,puerto ayora,-0.7393,-90.3518,75.54,97,100,1.99,EC,1699924193
13,zhosaly,45.4878,64.0781,39.54,68,99,14.61,KZ,1699924193
14,khandyga,62.6667,135.6,-18.42,99,65,2.95,RU,1699923799
15,ust-nera,64.5667,143.2,-19.89,97,59,4.83,RU,1699924193
16,santa cruz,-17.8,-63.1667,81.86,78,31,5.75,BO,1699924194
17,port alfred,-33.5906,26.891,57.18,94,94,11.7,ZA,1699924194
18,sirte,31.2089,16.5887,72.25,68,100,14.12,LY,1699924194
19,verkhnevilyuysk,63.4453,120.3167,7.81,96,100,5.28,RU,1699924194
20,pacific grove,36.6177,-121.9166,59.43,80,0,11.01,US,1699923987
21,waitangi,-43.9535,-176.5597,55.78,88,1,20.31,NZ,1699924032
22,lingig,8.0389,126.4125,84.02,73,29,2.51,PH,1699924195
23,nishinoomote,30.7333,131.0,59.83,61,86,8.23,JP,1699924038
24,adamstown,-25.066,-130.1015,73.13,85,100,17.36,PN,1699924028
25,enewetak,11.3474,162.3373,83.12,80,70,19.86,MH,1699924195
26,parabel',58.6978,81.4825,21.9,94,12,10.0,RU,1699924196
27,ribeira grande,38.5167,-28.7,60.78,90,100,4.0,PT,1699924196
28,hasaki,35.7333,140.8333,59.29,38,0,9.66,JP,1699924035
29,punta arenas,-53.15,-70.9167,37.11,69,18,13.31,CL,1699924070
30,lihue,21.9789,-159.3672,83.44,75,75,17.27,US,1699924196
31,bethel,41.3712,-73.414,41.49,78,75,0.0,US,1699924197
32,correntina,-13.3433,-44.6367,79.39,31,0,0.49,BR,1699923952
33,progreso,21.2833,-89.6667,80.71,87,100,14.76,MX,1699924197
34,afaahiti,-17.75,-149.2833,84.07,89,99,13.38,PF,1699924197
35,petropavlovsk-kamchatsky,53.0452,158.6483,26.46,74,0,28.01,RU,1699924197
36,rongelap,11.1635,166.8941,82.65,82,100,16.8,MH,1699924197
37,saldanha,-33.0117,17.9442,60.4,74,10,8.97,ZA,1699924198
38,melo,-32.3667,-54.1833,59.61,96,100,9.44,UY,1699924198
39,blackmans bay,-43.0167,147.3167,62.53,47,23,3.0,AU,1699924026
40,yung shue wan,22.2333,114.1167,68.61,74,100,3.0,HK,1699924198
41,calvinia,-31.4707,19.776,61.07,35,0,10.6,ZA,1699924198
42,yellowknife,62.456,-114.3525,12.2,92,100,5.48,CA,1699924199
43,kailua-kona,19.6406,-155.9956,86.5,73,40,10.36,US,1699924199
44,ushuaia,-54.8,-68.3,27.99,96,76,1.01,AR,1699924033
45,bilibino,68.0546,166.4372,-18.11,100,100,4.21,RU,1699924035
46,isafjordur,66.0755,-23.124,34.9,86,57,6.46,IS,1699924200
47,udachny,66.4167,112.4,21.45,85,100,8.61,RU,1699924200
48,port-aux-francais,-49.35,70.2167,44.04,97,100,36.55,TF,1699924037
49,ust'-charyshskaya pristan',52.3934,83.6635,35.85,96,100,11.72,RU,1699924200
50,pangai,-19.8,-174.35,78.91,88,100,9.91,TO,1699924200
51,nikolayevsk-on-amure,53.1406,140.73,20.32,85,100,7.11,RU,1699924201
52,mata-utu,-13.2816,-176.1745,84.13,75,79,9.71,WF,1699924201
53,grytviken,-54.2811,-36.5092,36.12,98,100,7.7,GS,1699924025
54,campestre,-21.7111,-46.2464,73.38,49,33,2.48,BR,1699924201
55,merowe,18.4833,31.8167,81.73,29,100,5.88,SD,1699924201
56,castro,-24.7911,-50.0119,71.6,62,6,1.57,BR,1699924202
57,socorro,31.6546,-106.3033,59.9,67,75,11.5,US,1699924068
58,haiku-pauwela,20.9219,-156.3051,80.62,63,20,16.11,US,1699924202
59,caleta de carquin,-11.0925,-77.6267,67.87,86,10,10.51,PE,1699924202
